Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/robert/xipki/xipki-pki-4.0.1-SNAPSHOT/lock
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2018-10-10T17:05:07,057 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.objectweb.asm.commons/6.2.1
2018-10-10T17:05:07,057 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.aries.blueprint.api/1.0.1
2018-10-10T17:05:07,058 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.aries.proxy/1.1.2
2018-10-10T17:05:07,062 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.aries.blueprint.core/1.9.0
2018-10-10T17:05:07,106 | INFO  | features-3-thread-1 | BlueprintExtender                 161 | 20 - org.apache.aries.blueprint.core - 1.9.0 | No quiesce support is available, so blueprint components will not participate in quiesce operations
2018-10-10T17:05:07,199 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.aries.blueprint.cm/1.2.0
2018-10-10T17:05:07,211 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.jline.terminal/3.9.0
2018-10-10T17:05:07,212 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.jline.reader/3.9.0
2018-10-10T17:05:07,213 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.jline.builtins/3.9.0
2018-10-10T17:05:07,214 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.shell.core/4.2.1
2018-10-10T17:05:07,416 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.features.command/4.2.1
2018-10-10T17:05:07,443 | INFO  | features-3-thread-1 | CommandExtension                  146 | 32 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.features.command/4.2.1
2018-10-10T17:05:07,446 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.log.core/4.2.1
2018-10-10T17:05:07,456 | INFO  | features-3-thread-1 | CommandExtension                  146 | 32 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.log.core/4.2.1
2018-10-10T17:05:07,456 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.bundle.core/4.2.1
2018-10-10T17:05:07,484 | INFO  | features-3-thread-1 | CommandExtension                  146 | 32 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.bundle.core/4.2.1
2018-10-10T17:05:07,484 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.bundle.blueprintstate/4.2.1
2018-10-10T17:05:07,489 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.shell.commands/4.2.1
2018-10-10T17:05:07,505 | INFO  | features-3-thread-1 | CommandExtension                  146 | 32 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.shell.commands/4.2.1
2018-10-10T17:05:07,505 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.jaas.config/4.2.1
2018-10-10T17:05:07,512 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.jaas.blueprint.config/4.2.1
2018-10-10T17:05:07,519 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.sshd.core/1.7.0
2018-10-10T17:05:07,520 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11.1
2018-10-10T17:05:07,521 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.config.core/4.2.1
